Settlement House,Title,Main Office (delete or move to keep formatting),Address,City,Borough,State,Zipcode,Programs,Early Childhood Education,Afterschool Programs,Older Adult Services,Latitude,Longitude
Bronx Works,PS 42,,1537 Washington Ave.,Bronx,Bronx,NY,10457,COMPASS/SONYC,,Afterschool,,40.838568,-73.903027
Bronx Works,Sedgwick Social Club,,1553 University Ave.,Bronx,Bronx,NY,10453,Other Older Adult Services,,,Older Adults,40.846441,-73.921959
Bronx Works,IS 313 and IS 339 Community Schools,,1600 Webster Ave.,Bronx,Bronx,NY,10457,Community School,,,,40.840671,-73.90426
Bronx Works,Mott Haven Charter,,170 Brown Place,Bronx,Bronx,NY,10454,COMPASS/SONYC,,Afterschool,,40.806375,-73.921029
Bronx Works,Murphy Houses,,1805 Crotona Ave.,Bronx,Bronx,NY,10457,Workforce Development,,,,40.842756,-73.89393
Bronx Works,Twin Parks South West,,"1880 Valentine Ave, first floor",Bronx,Bronx,NY,10457,Family Services,,,,40.849054,-73.900536
Bronx Works,BronxWorks HomeBase Community Access Site,,1923 W Farms Rd,Bronx,Bronx,NY ,10460,Housing & Homelessness,,,,40.838999,-73.880957
Bronx Works,Adlai Stevenson High School YABC Program,,1980 Lafayette Ave.,Bronx,Bronx,NY,10473,Other Children & Youth Services,,,,40.822161,-73.855875
Bronx Works,Twin Parks South East,,2111 Southern Boulevard,Bronx,Bronx,NY,10460,Family Services,,,,40.846275,-73.884531
Bronx Works,East Concourse Older Adult Center,,236 East Tremont Ave.,Bronx,Bronx,NY,10457,Older Adult Center,,,Older Adults,40.84877,-73.904556
Bronx Works,Classic Community Center,,286 E. 156th St.,Bronx,Bronx,NY,10451,Cornerstone,,Afterschool,,40.821536,-73.920267
Bronx Works,River Park Residences NORC,,30 Richman Plaza,Bronx,Bronx,NY,10453,NORC,,,Older Adults,40.85218,-73.922617
Bronx Works,Park Haven,,345 St Anns Ave,Bronx,Bronx,NY,10454,Housing & Homelessness,,,,40.809648,-73.915839
Bronx Works,Twin Parks West,,355 E. 183 St.,Bronx,Bronx,NY,10458,"Food Access, Workforce Development, Older Adult Center",,,Older Adults,40.856664,-73.896224
Bronx Works,SONYC/BronxWorks After-School Program at South Bronx Prep,,360 E 145th St.,Bronx,Bronx,NY,10454,COMPASS/SONYC,,Afterschool,,40.813669,-73.920296
Bronx Works,Jerome Avenue Men's Shelter (JAMS),,3600 Jerome Ave. ,Bronx ,Bronx,NY,10467,Housing & Homelessness,,,,40.885457,-73.878955
Bronx Works,Frederick Douglass Academy III,,3630 Third Ave.,Bronx,Bronx,NY,10456,Other Children & Youth Services,,,,40.83379,-73.904119
Bronx Works,Soundview Older Adult Center,,391 Bronx River Ave.,Bronx,Bronx,NY,10473,Older Adult Center,,,Older Adults,40.814732,-73.867394
Bronx Works,425 Grand Concourse,,425 Grand Concourse,Bronx,Bronx,NY,10451,Family Services,,,,40.817079,-73.928192
Bronx Works,Cooper Gardens,,4511 3rd Ave,Bronx,Bronx,NY,10457,Housing & Homelessness,,,,40.853655,-73.89152
Bronx Works,The Brook,,455 East 148th St.,Bronx,Bronx,NY,10455,Housing & Homelessness,,,,40.814467,-73.91558
Bronx Works,BronxWorks HomeBase Community Access Site,,491 Gerard Ave.,Bronx,Bronx,NY,10451,Housing & Homelessness,,,,40.818599,-73.929713
Bronx Works,Third Avenue Afterschool Program,,500 E. 165th St.,Bronx,Bronx,NY,10456,COMPASS/SONYC,,Afterschool,,40.82647,-73.907992
Bronx Works,E. Roberts Moore Older Adult Center,,515 Jackson Ave.,Bronx,Bronx,NY,10455,Older Adult Center,,,Older Adults,40.812468,-73.909634
Bronx Works,Betances Community Center,,547 E. 146th Street,Bronx,Bronx,NY,10455,Cornerstone,,Afterschool,,40.812575,-73.914544
Bronx Works,Workforce Development Main Office,,550 E. 142 St.,Bronx,Bronx,NY,10454,"Workforce Development, Youth Employment Services",,,,40.809775,-73.916168
Bronx Works,Bronx Point,,575 Exterior St.,Bronx,Bronx,NY,10451,Housing & Homelessness,,,,40.820306,-73.9311
Bronx Works,St. Mary's Park Cornerstone Community Center,,595 Trinity Ave.,Bronx,Bronx,NY,10455,Cornerstone,,Afterschool,,40.815135,-73.90973
Bronx Works,Administrative Office,X,60 East Tremont Ave.,Bronx,Bronx,NY,10453,"Immigrant Services, Family Services",,,,40.850963,-73.908069
Bronx Works,Hunts Point Multiservice Center,,630 Jackson Ave.,Bronx,Bronx,NY,10455,"Family Services, Mental Health & Substance Abuse, Housing & Homelessness, Other Older Adult Services",,,Older Adults,40.815408,-73.90795
Bronx Works,Avenue St. John,,630 Southern Blvd.,Bronx,Bronx,NY,10455,Family Services,,,,40.812812,-73.901198
Bronx Works,Sack Wern,,"715 Noble Ave, 1st Floor",Bronx,Bronx,NY,10473,Family Services,,,,40.81904,-73.867414
Bronx Works,Bronxchester,,725 Saint Ann's Ave.,Bronx,Bronx,NY,10455,"Workforce Development, Other Children & Youth Services",,,,40.819127,-73.910987
Bronx Works,PS 130 Abrams Steven Hewitt,,750 Prospect Ave.,Bronx,Bronx,NY,10455,COMPASS/SONYC,,Afterschool,,40.817878,-73.902122
Bronx Works,Jill Chaifetz Transfer School,,778 Forest Ave.,Bronx,Bronx,NY,10456,Other Children & Youth Services,,,,40.818782,-73.905819
Bronx Works,Heights Older Adult Center,,80 E 181st St,Bronx,Bronx,NY,10453,Older Adult Center,,,Older Adults,40.855043,-73.904312
Bronx Works,Morris Older Adult Center,,80 East 181st St.,Bronx,Bronx,NY,10453,"Older Adult Center, Other Older Adult Services",,,Older Adults,40.855043,-73.904312
Bronx Works,The Living Room/Safe Haven,,800 Barretto St.,Bronx,Bronx,NY,10474,Housing & Homelessness,,,,40.816828,-73.889821
Bronx Works,Tenant Defense Program,,818 River Avenue,Bronx,Bronx,NY,10451,Housing & Homelessness,,,,40.826391,-73.926617
Bronx Works,Thieriot Office,,820 Thieriot Ave.,Bronx,Bronx,NY,10473,Family Services,,,,40.822061,-73.861904
Bronx Works,Pyramid Cornerstone Community Center,,884 Washington Ave.,Bronx,Bronx,NY,10451,Cornerstone,,Afterschool,,40.823067,-73.911215
Bronx Works,Woodstock Terrace,,890 Trinity Ave.,Bronx,Bronx,NY,10456,"NORC, Immigrant Services",,,Older Adults,40.822071,-73.905953
Bronx Works,Family Enrichment Center ,,Barnes Avenue,Bronx,Bronx,NY,,Family Services,,,,40.904244,-73.847868
Bronx Works,BronxWorks Mott Haven Farm Stand,,"Padre Plaza, E 139th St.",Bronx,Bronx,NY,10454,"Family Services, Health & Fitness",,,,40.807884,-73.91791
CAMBA,Belmont Daniels,,101 Daniel Low Terrace,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.642398,-74.080661
CAMBA,880 Willoughby,,1013-1023 Broadway,Brooklyn,Brooklyn,NY,11221,Housing & Homelessness,,,,40.695781,-73.932838
CAMBA,The Hart,,1038 Broadway,Brooklyn,Brooklyn,NY,11221,Housing & Homelessness,,,,40.6953,-73.93272
CAMBA,Beach 21st Street,,1047 Beach 21st Street,Far Rockaway,Queens,NY,11691,Housing & Homelessness,,,,40.603364,-73.754078
CAMBA,Gateway Elton Street Phase I,,1062 Elton Street,Brooklyn,Brooklyn,NY,11239,Housing & Homelessness,,,,40.657331,-73.874881
CAMBA,CAMBA All-Stars at P.S. 114,,1077 Remsen Avenue,Brooklyn,Brooklyn,NY,11236,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.642532,-73.908128
CAMBA,Apex Place,,108-60 Horace Harding Expressway,Forest Hills,Queens,NY,11375,Housing & Homelessness,,,,40.7373333,-73.8523123
CAMBA,Buckingham House,,11-15 Port Richmond Avenue,Staten Island,Staten Island,NY,10302,Housing & Homelessness,,,,40.640271,-74.131466
CAMBA,Solutions to End Homelessness Program & Homebase,,"1117 Eastern Parkway
",Brooklyn,Brooklyn,NY,11213,Housing & Homelessness,,,,40.669211,-73.931332
CAMBA,Beacon 271 at The John M. Coleman Campus,,1137 Herkimer Street,Brooklyn,Brooklyn,NY,11233,Beacon,,Afterschool,,40.677932,-73.915732
CAMBA,Evergreen Family Residence,,1144 Evergreen Avenue,Bronx,Bronx,NY,10472,Housing & Homelessness,,,,40.827004,-73.88059
CAMBA,Brownsville Academy High School,,1150 East New York Avenue,Brooklyn,Brooklyn,NY,11212,"Community School, Other Children & Youth Services",,,,40.666374,-73.924106
CAMBA,Gateway Elton Street Phase III,,1166 Elton Street,Brooklyn,Brooklyn,NY,11239,Housing & Homelessness,,,,40.655909,-73.873812
CAMBA,Rugged Cross Apartments,,12 Patchen Avenue,Brooklyn,Brooklyn,NY,11221,Housing & Homelessness,,,,40.692303,-73.928089
CAMBA,Homebase,,120 Stuyvesant Place,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.643314,-74.077298
CAMBA,Broadway House Women’s Shelter,,1245 Broadway,Brooklyn,Brooklyn,NY,11221,Housing & Homelessness,,,,40.691478,-73.925265
CAMBA,Morris Manor,,1247 Flatbush Avenue,Brooklyn,Brooklyn,NY,11226,Housing & Homelessness,,,,40.639946,-73.954701
CAMBA,Multi-service Program Office,,1259 Flatbush Avenue,Brooklyn,Brooklyn,NY,11226,"Mental Health & Substance Abuse, Health & Fitness",,,,40.639731,-73.954486
CAMBA,"Park Slope Womens Shelter
",,"1402 8th Avenue
",Brooklyn,Brooklyn,NY,11215,Housing & Homelessness,,,,40.66255,-73.982217
CAMBA,"Magnolia House Womens Shelter
",,1424 Herkimer Street,Brooklyn,Brooklyn,NY,11233,Housing & Homelessness,,,,40.677169,-73.906251
CAMBA,"Lower East Side Prepatory High School, Career Ready SYEP",,"145 Stanton Street
",New York,Manhattan,NY,10002,"Other Children & Youth Services, Youth Employment Services",,,,40.720544,-73.98578
CAMBA,Dumont Green,,1490 Dumont Avenue,Brooklyn,Brooklyn,NY,11208,Housing & Homelessness,,,,40.670806,-73.862541
CAMBA,Albany Cornerstone,,164 Troy Avenue,Brooklyn,Brooklyn,NY,11213,Cornerstone,,Afterschool,,40.67405,-73.936577
CAMBA,Scattered Site Housing Program-Queens,,164-21 Hillside Avenue,Jamaica,Queens,NY,11432,Housing & Homelessness,,,,40.709225,-73.798143
CAMBA,"Brownsville In, Violence Out (BIVO)",,1667 Pitkin Avenue,Brooklyn,Brooklyn,NY,11212,Violence Prevention,,,,40.669658,-73.911831
CAMBA,"Brownsville In, Violence Out (BIVO North)",,1755 Broadway,Brooklyn,Brooklyn,NY,11207,Violence Prevention,,,,40.682949,-73.910241
CAMBA,CAMBA Kids Connection at P.S. 249,,18 Marlborough Road,Brooklyn,Brooklyn,NY,11226,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.649654,-73.966192
CAMBA,Via Vyse,,1812 Vyse Avenue,Bronx,Bronx,NY,10460,Housing & Homelessness,,,,40.838271,-73.884899
CAMBA,Castleton Park,,185 Saint Marks Place,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.645528,-74.080392
CAMBA,Multi-service Program Office,,19 Winthrop Street,Brooklyn,Brooklyn,NY,11225,"Health & Fitness, Housing & Homelessness, Family Services",,,,40.656632,-73.959485
CAMBA,Beacon 361 at P.S.361 East Flatbush Early Childhood School & College Bound,,1957 Nostrand Avenue,Brooklyn,Brooklyn,NY,11210,"Beacon, Other Children & Youth Services",,Afterschool,,40.637754,-73.947976
CAMBA,Homebase,,"1958 Fulton Street
",Brooklyn,Brooklyn,NY,11233,Housing & Homelessness,,,,40.678673,-73.920181
CAMBA,Forsyth Satellite Academy,,198 Forsyth Street,New York,Manhattan,NY,10002,Other Children & Youth Services,,,,40.722499,-73.990599
CAMBA,Cascades High School,,"198 Forsyth Street
",New York,Manhattan,NY,10002,Other Children & Youth Services,,,,40.722499,-73.990599
CAMBA,Flagstone Family Center,,199 Amboy Street,Brooklyn,Brooklyn,NY,11212,"Housing & Homelessness, COMPASS/SONYC, Family Services",,Afterschool,,40.665594,-73.913477
CAMBA,Multi-service Program Office,,20 Snyder Avenue,Brooklyn,Brooklyn,NY,11226,"Housing & Homelessness, Immigrant Services, Family Services, Violence Prevention",,,,40.648486,-73.957422
CAMBA,Seaview Estates,,201 Hamilton Avenue,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.645307,-74.08408
CAMBA,Gabriel House,,201 West 122nd Street,New York,Manhattan,NY,10027,Housing & Homelessness,,,,40.807303,-73.950108
CAMBA,Brooklyn Collegiate: A College Board School,,2021 Bergen Street,Brooklyn,Brooklyn,NY,11233,Other Children & Youth Services,,,,40.674247,-73.913255
CAMBA,James Bryant Homes,,2027 Madison Avenue,New York,Manhattan,NY,10035,Housing & Homelessness,,,,40.808042,-73.938791
CAMBA,Legacy Houses,,2081 Madison Avenue,New York,Manhattan,NY,10037,Housing & Homelessness,,,,40.809729,-73.937555
CAMBA,Homebase,,209 Bay Street,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.637079,-74.075994
CAMBA,Multi-service Program Office,,21 Snyder Avenue,Brooklyn,Brooklyn,NY,11226,"Youth Employment Services, Family Services, LEAPS, Health & Fitness",,Afterschool,,40.648683,-73.957287
CAMBA,P.S./I.S. 323 - Chester Street Campus,,210 Chester Street,Brooklyn,Brooklyn,NY,11212,Other Children & Youth Services,,,,40.666583,-73.911105
CAMBA,King Gardens Seniors,,211 Riverdale Avenue,Brooklyn,Brooklyn,NY,11212,Housing & Homelessness,,,,40.661103,-73.908752
CAMBA,Hegeman,,212 Hegeman Avenue,Brooklyn,Brooklyn,NY,11212,Housing & Homelessness,,,,40.656635,-73.904041
CAMBA,Stuyvesant Cornerstone 1,,214 Stuyvesant Avenue,Brooklyn,Brooklyn,NY,11221,Cornerstone,,Afterschool,,40.687801,-73.933163
CAMBA,"Highbridge Terrace, Citywide Scattered Site",,220 West 167th Street,Bronx,Bronx,NY,10452,Housing & Homelessness,,,,40.838813,-73.928284
CAMBA,Multi-service Program Office,X,2244 Church Avenue,Brooklyn,Brooklyn,NY,11226,"Workforce Development, Immigrant Services, Health & Fitness, Housing & Homelessness",,,,40.650375,-73.956765
CAMBA,Teachers Preparatory High School Bristol Street Campus,,226 Bristol Street,Brooklyn,Brooklyn,NY,11212,Other Children & Youth Services,,,,40.6657,-73.911788
CAMBA,Highbridge Overlook,,240 West 167th Street,Bronx,Bronx,NY,10452,Housing & Homelessness,,,,40.839425,-73.928657
CAMBA,"Atlantic House Mens Shelter/The Gathering Place Drop-in Center
",,2402 Atlantic Avenue,Brooklyn,Brooklyn,NY,11233,Housing & Homelessness,,,,40.675864,-73.90525
CAMBA,Housing Legal Services,,241 37th Street,Brooklyn,Brooklyn,NY,11232,Housing & Homelessness,,,,40.655921,-74.00828
CAMBA,SONYC at Andries Hudde J.H.S. 240,,2500 Nostrand Avenue,Brooklyn,Brooklyn,NY,11210,COMPASS/SONYC,,Afterschool,,40.623761,-73.946489
CAMBA,Pink Houses Cornerstone,,2702 Linden Boulevard,Brooklyn,Brooklyn,NY,11208,Cornerstone,,Afterschool,,40.668911,-73.864598
CAMBA,CHV 202nd and 203rd Street,,271 E. 202nd Street and 266 E. 203rd Street,Bronx,Bronx,NY,10458,Housing & Homelessness,,,,40.872875,-73.884644
CAMBA,Breevort Cornerstone,,280 Ralph Avenue,Brooklyn,Brooklyn,NY,11233,Cornerstone,,Afterschool,,40.679939,-73.923314
CAMBA,Professional Pathways High School,,"3000 Avenue X
",Brooklyn,Brooklyn,NY,11235,Other Children & Youth Services,,,,40.593724,-73.936966
CAMBA,The Bedford,,3160 Webster Avenue,Bronx,Bronx,NY,10467,Housing & Homelessness,,,,40.872437,-73.875218
CAMBA,"Judith S. Kaye High School 
",,321 East 96th Street,New York,Manhattan,NY,10128,Other Children & Youth Services,,,,40.783531,-73.944925
CAMBA,Clarkson Estates (Vital Brooklyn Initiative Site L),,329 Clarkson Avenue,Brooklyn,Brooklyn,NY,11226,Housing & Homelessness,,,,40.655621,-73.949447
CAMBA,CAMBA Creative Kids at P.S. 139,,330 Rugby Road,Brooklyn,Brooklyn,NY,11226,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.641082,-73.965581
CAMBA,Bergen Saratoga Apartments,,331 Saratoga Avenue,Brooklyn,Brooklyn,NY,11233,Housing & Homelessness,,,,40.674516,-73.916528
CAMBA,James Baldwin High School,,351 West 18th Street,New York,Manhattan,NY,10011,Other Children & Youth Services,,,,40.743057,-74.00233
CAMBA,Sheepshead Bay Cornerstone,,3679 Nostrand Avenue,Brooklyn,Brooklyn,NY,11229,Cornerstone,,Afterschool,,40.594442,-73.940438
CAMBA,The Kensington,,385 McDonald Avenue,Brooklyn,Brooklyn,NY,11218,"Housing & Homelessness, Family Services",,,,40.644559,-73.979484
CAMBA,Rising Up Men's Shelter,,39 Ainslie Street,Brooklyn,Brooklyn,NY,11211,Housing & Homelessness,,,,40.712961,-73.952698
CAMBA,Putnam Court,,40 Putnam Avenue,Brooklyn,Brooklyn,NY,11238,Housing & Homelessness,,,,40.682767,-73.960126
CAMBA,Van Dyke III,,405 Dumont Avenue,Brooklyn,Brooklyn,NY,11212,Housing & Homelessness,,,,40.66502,-73.904191
CAMBA,Community School at P.S. 198 Brooklyn Elementary,,4105 Farragut Road,Brooklyn,Brooklyn,NY,11203,Community School,,,,40.6374913,-73.9372764
CAMBA,Beacon 164 at P.S. 164 Caesar Rodney School,,4211 14th Avenue,Brooklyn,Brooklyn,NY,11219,Beacon,,Afterschool,,40.637235,-73.985968
CAMBA,Prospect Plaza,,430 Saratoga Avenue,Brooklyn,Brooklyn,NY,11233,Housing & Homelessness,,,,40.671227,-73.917137
CAMBA,Westwind Houses,,45 East 131st Street,New York,Manhattan,NY,10037,Housing & Homelessness,,,,40.809365,-73.937199
CAMBA,Park Avenue Residence,,4607 Park Avenue,Bronx,Bronx,NY,10458,Housing & Homelessness,,,,40.857631,-73.893715
CAMBA,Career Navigation Initiative (CNI) - East New York/Brownsville,,475 Fountain Avenue,Brooklyn,Brooklyn,NY,11208,"Workforce Development, Youth Employment Services",,,,40.668553,-73.87249
CAMBA,Cypress Hills Cornerstone,,475 Fountain Avenue,Brooklyn,Brooklyn,NY,11208,Cornerstone,,Afterschool,,40.668553,-73.87249
CAMBA,Gateway Elton Street Phase II-The Alan Epstein Apartments,,475 Locke Street,Brooklyn,Brooklyn,NY,11239,Housing & Homelessness,,,,40.656543,-73.875791
CAMBA,Gateway Elton Street Phase III,,475 Locke Street,Brooklyn,Brooklyn,NY,11239,Housing & Homelessness,,,,40.656543,-73.875791
CAMBA,Livonia Commons,,494 Georgia Avenue,Brooklyn,Brooklyn,NY,11207,Housing & Homelessness,,,,40.664237,-73.89598
CAMBA,CAMBA Elite at P.S. 3,,50 Jefferson Avenue,Brooklyn,Brooklyn,NY,11216,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.682557,-73.955332
CAMBA,CAMBA Kids Quest at P.S. 91,,532 Albany Avenue,Brooklyn,Brooklyn,NY,11203,"Summer Rising, COMPASS/SONYC",,Afterschool,,40.661845,-73.940142
CAMBA,Housing Legal Services,,56 Bay Street,Staten Island,Staten Island,NY,10301,Housing & Homelessness,,,,40.640721,-74.075914
CAMBA,Heritage House,,56 East 131st Street,New York,Manhattan,NY,10037,Housing & Homelessness,,,,40.809197,-73.937385
CAMBA,CAMBA Gardens II,,560 Winthrop Street,Brooklyn,Brooklyn,NY,11203,Housing & Homelessness,,,,40.657377,-73.941155
CAMBA,Vincent Cyrus Plaza (57),,57 E. 128th Street,New York,Manhattan,NY,10035,Housing & Homelessness,,,,40.80743,-73.938257
CAMBA,Arverne View,,57-11 Shore Front Parkway,Arverne,Queens,NY,11692,Housing & Homelessness,,,,40.591595,-73.787668
CAMBA,CAMBA Family Solution-5,,"574 Livonia Ave 
",Brooklyn,Brooklyn,NY,11207,Family Services,,,,40.66442,-73.895378
CAMBA,"Opportunity House Men’s Shelter
",,59-65 Prince Street,Brooklyn,Brooklyn,NY,11201,Housing & Homelessness,,,,40.695627,-73.982302
CAMBA,CAMBA Kids Unlimited at P.S. 92,,601 Parkside Avenue,Brooklyn,Brooklyn,NY,11226,"Other Children & Youth Services, COMPASS/SONYC",,Afterschool,,40.656137,-73.954116
CAMBA,Van Dyke,,603 Mother Gaston Blvd,Brooklyn,Brooklyn,NY,11212,Housing & Homelessness,,,,40.66414,-73.905208
CAMBA,CAMBA Kids Unite at P.S. 170,,619 72nd Street,Brooklyn,Brooklyn,NY,11209,"Other Children & Youth Services, COMPASS/SONYC",,Afterschool,,40.630202,-74.01885
CAMBA,Apex Place,,62-11 108th Street; 108-75 62nd Drive,Forest Hills,Queens,NY,11375,Housing & Homelessness,,,,40.736668,-73.851314
CAMBA,YABC at South Shore Educational Complex,,6565 Flatlands Avenue,Brooklyn,Brooklyn,NY,11236,Other Children & Youth Services,,,,40.63326,-73.917133
CAMBA,"Brooklyn Bridge Academy
",,"6565 Flatlands Avenue
",Brooklyn,Brooklyn,NY,11236,Other Children & Youth Services,,,,40.63326,-73.917133
CAMBA,CAMBA Gardens I,,690-738 Albany Avenue,Brooklyn,Brooklyn,NY,11203,Housing & Homelessness,,,,40.657273,-73.93997
CAMBA,SONYC at Walt Whitman M.S. 246,,72 Veronica Place,Brooklyn,Brooklyn,NY,11226,COMPASS/SONYC,,Afterschool,,40.648407,-73.95297
CAMBA,Boulevard Cornerstone,,726 Stanley Avenue,Brooklyn,Brooklyn,NY,11207,Cornerstone,,Afterschool,,40.660142,-73.881621
CAMBA,Vincent Cypress Plaza (73),,73 East 128th Street,New York,Manhattan,NY,10035,Housing & Homelessness,,,,40.807362,-73.938117
